,,,,,,
SL No,Date,Work Summary,Hours Worked,Reference Link,Learning /Outcomes,Skils Used
1,02/02/2026,"In earlier days, data was stored using manual methods such as paper files, registers, and ledgers. These approaches were time-consuming, error-prone, and difficult to search, update, and secure. Later, data storage evolved into flat files like text files and spreadsheets, which improved accessibility but still suffered from major limitations such as data redundancy, lack of data integrity, poor security, and difficulty in handling large volumes of data. To overcome these challenges, database systems were introduced, leading to the development of SQL (Structured Query Language) as a standard language for managing structured A.

SQL enables data to be stored systematically in relational databases using tables composed of rows and columns. It allows users and applications to perform operations such as inserting, retrieving, updating, and deleting data efficiently while maintaining data consistency and security. SQL plays a critical role in backend application development, where it is used for data validation, reporting, and transaction management.

SQL is often confused with database software, but they are not the same. SQL is a language, whereas MySQL is a Database Management System (DBMS) that uses SQL to store and manage data. SQL defines how to interact with data, while MySQL provides the platform that physically stores the data and executes SQL commands. MySQL is widely used in web applications due to its open-source nature, performance, and scalability.

Related SQL topics include database design, tables and relationships, keys and constraints, joins, normalization, indexing, transactions, and database roles such as Database Administrator, Developer, and End User. Due to its reliability and widespread industry adoption, SQL remains a fundamental skill for backend development and data management in the IT market.A",8 Hours,,"Learners will be able to understand the evolution of data storage, differentiate SQL from MySQL, and apply SQL concepts for effective backend data management in relational database systems.",SQL
2,03/02/2026,"SQL (Structured Query Language) is a standard query language used to interact with relational databases, whereas MySQL is a database management software that uses SQL to store, manage, and retrieve data. In simple terms, SQL is the language used to write queries, while MySQL is the tool that executes those queries and stores data physically. SQL defines rules and syntax for database operations such as SELECT, INSERT, UPDATE, and DELETE, and it is common across many databases. MySQL, on the other hand, is a specific implementation of a relational database system, known for its high performance, reliability, and open-source nature, and is widely used in web and enterprise applications.

MySQL software is extensively used in backend development to handle structured data securely and efficiently. It is commonly used in login systems, e-commerce platforms, content management systems, banking applications, and student management systems. For example, during a login process, MySQL validates user credentials by executing SQL queries to check whether the entered username and password match the records stored in the database. This makes MySQL a critical component in backend validation, data storage, and transaction processing.

MySQL supports different database roles to ensure security and controlled access. The Database Administrator (DBA) is responsible for database installation, configuration, performance tuning, and user management. Developers design database schemas and write SQL queries, procedures, and functions. Application Users access the database indirectly through applications with limited privileges, while Read-only Users are allowed only to view data without making changes. Due to its scalability, security features, and wide industry adoption, MySQL continues to be one of the most popular database software solutions used in the IT market today.",8 Hours,,"Learners will be able to differentiate SQL and MySQL, understand MySQL’s role in backend data validation, and identify key database roles used in real-world applications.",SQL
3,04/02/2026,"Data refers to raw facts, figures, or values that by themselves do not convey meaningful information. In technical terms, data represents unprocessed inputs such as numbers, text, symbols, images, or audio that describe attributes or properties of an entity. The basic prerequisites of data include accuracy, completeness, consistency, relevance, and timeliness, as these qualities ensure reliable processing and decision-making. Data is important because it forms the foundation of all computer systems, applications, analytics, and business decisions. Without data, software systems cannot function effectively or provide useful outcomes.

Data can be classified into different types. Structured data is organized in a fixed format, such as tables in databases (e.g., student records with roll number and marks). Unstructured data has no predefined structure, such as emails, images, videos, and social media content. Semi-structured data lies between the two, such as JSON or XML files. Data can also be categorized as qualitative data (descriptive, non-numeric, e.g., names) and quantitative data (numeric, e.g., age or salary).

A database is an organized collection of related data stored electronically in a structured manner, allowing efficient storage, retrieval, and management. Types of databases include relational databases (tables with rows and columns), hierarchical databases, network databases, object-oriented databases, and NoSQL databases used for large-scale and unstructured data.

Information is processed and organized data that has meaning and value to users. When raw data is analyzed, summarized, or interpreted, it becomes information that supports understanding, decision-making, and problem-solving in real-world applications.",8 Hours,,"Learners will be able to understand the concept of data, its types and prerequisites, differentiate data from information, and explain the role of databases in managing and transforming data into meaningful information.",SQL
4,05/02/2026,"Raw facts are unprocessed, basic data values collected directly from a source without any analysis or interpretation. Examples of raw facts include numbers, names, dates, or sensor readings such as “101”, “Karthik”, or “75”. By themselves, raw facts do not convey meaningful information; they become useful only after processing. In computing, raw facts form the foundation of data, which is later organized and analyzed to generate meaningful information.

DBMS (Database Management System) is software used to store, manage, retrieve, and manipulate data efficiently in a structured manner. It acts as an interface between users/applications and the database, ensuring data consistency, security, and controlled access. A DBMS stores data electronically on secondary storage devices such as hard disks or solid-state drives, usually in the form of tables, files, or objects depending on the database model. Internally, data is organized using indexes, schemas, and storage structures to allow faster access and reliable management.

Despite its advantages, DBMS has certain drawbacks. It involves high initial cost due to software licensing, hardware requirements, and skilled personnel. DBMS systems are complex to design, maintain, and administer. Performance may degrade for simple applications due to overhead, and system failures can impact multiple users at once. Security risks also exist if proper controls are not implemented.

Types of DBMS include hierarchical DBMS, where data is stored in a tree structure; network DBMS, which supports many-to-many relationships; relational DBMS, which stores data in tables with rows and columns; object-oriented DBMS, which stores data as objects; and NoSQL DBMS, designed for handling large volumes of unstructured or semi-structured data.",8 Hours,,"Learners will be able to understand raw facts, explain the role, storage, advantages and drawbacks of DBMS, and identify different types of DBMS used for data management.",SQL
5,06/02/2026,"RDBMS (Relational Database Management System) is a type of DBMS in which data is stored in the form of tables consisting of rows and columns, and relationships are established between tables using keys. Each table represents an entity, rows represent records, and columns represent attributes. The relational model ensures data accuracy, consistency, and integrity through constraints such as primary keys, foreign keys, unique keys, and not-null constraints.

An RDBMS stores data physically on secondary storage devices like hard disks or SSDs. Logically, data is organized into tables, and internally the system uses indexes to speed up data retrieval and schemas to define the database structure. Relationships between tables allow data to be normalized, reducing redundancy and improving data consistency. For example, a Student table and a Course table can be linked using a foreign key, enabling efficient data management across applications.

The advantages of RDBMS include reduced data redundancy, improved data integrity, better security through role-based access, support for multi-user access, easy data retrieval using queries, and reliable transaction management using ACID properties. Due to these benefits, RDBMS is widely used in banking, education systems, enterprise applications, and web-based systems.

SQL (Structured Query Language) is the standard language used to interact with RDBMS. SQL was developed in the early 1970s at IBM by Donald D. Chamberlin and Raymond F. Boyce, originally named SEQUEL. The theoretical foundation of relational databases was proposed by Edgar F. Codd in 1970. Today, SQL-based RDBMS systems form the backbone of modern data-driven applications across the IT industry.",8 Hours,,"Learners will be able to understand the RDBMS concept, its storage and advantages, and explain the role and history of SQL in managing relational databases.",SQL
6,07/02/2026,"Data refers to raw facts and figures that do not have meaning on their own, such as numbers, names, or symbols. When data is processed and organized, it becomes meaningful information. A database is a structured collection of related data stored electronically, allowing efficient storage, retrieval, and management of information.

A Database Management System (DBMS) is software that acts as an interface between users and the database. It helps in creating, storing, updating, and managing data securely. Based on structure and usage, there are different types of DBMS, including Hierarchical DBMS, Network DBMS, Relational DBMS (RDBMS), and Object-Oriented DBMS. Among these, RDBMS is the most widely used due to its tabular structure and strong data integrity features.

An RDBMS stores data in the form of tables with rows and columns and supports relationships between tables using keys. It follows the relational model proposed by E. F. Codd and ensures data consistency through constraints. Popular RDBMS software includes MySQL and Oracle.

SQL (Structured Query Language) is a standard language used to interact with relational databases. The history of SQL began in the 1970s at IBM, where it was initially called SEQUEL. Later, SQL was standardized by ANSI and ISO, making it the universal language for database operations. SQL is used for data definition, manipulation, retrieval, and access control, making it a core skill tested in technical aptitude rounds.",8 Hours,,"Learners will understand the fundamentals of data, databases, DBMS and RDBMS, the types of DBMS, and the history and importance of SQL for technical aptitude and interview preparation.", SQL
7,09/02/2026,"The Relational Model, proposed by E. F. Codd in 1970, is the foundation of modern database systems. It represents data in the form of tables (relations), making data storage simple, structured, and easy to access. Most popular databases such as MySQL and Oracle are based on this model.

In the relational model, a table consists of rows and columns. Each row, also called a tuple, represents a single record, while each column, known as an attribute, represents a property of the entity. The intersection of a row and a column is called a cell, which must always contain an atomic (single) value. A table should have a primary key to uniquely identify each row, ensuring data integrity and avoiding duplication.

E. F. Codd defined 12 rules (along with Rule 0) to identify a true Relational Database Management System (RDBMS). Some important rules include the Information Rule, which states that all data must be stored in tables; the Guaranteed Access Rule, which ensures data can be accessed using table name, primary key, and column name; and Logical and Physical Data Independence, which allow changes in structure or storage without affecting applications.

Data Types (DT) play a crucial role in the relational model. They define the type of data that can be stored in a column, the amount of memory used, and the operations allowed on the data. Common types of data types include Numeric data types (INT, DECIMAL, FLOAT), Character data types (CHAR, VARCHAR, TEXT), Date and Time data types (DATE, TIME, TIMESTAMP), Boolean data type, and Special data types such as ENUM, BLOB, and JSON. Data types help maintain accuracy, consistency, and reliability of data in a database.",8 Hours,,"By the end of this topic, learners will understand the Relational Model proposed by E. F. Codd, including table structure (rows, columns, cells), Codd’s rules, and the role and types of data types in ensuring data integrity and reliability in modern RDBMS.",SQL
8,10/02/2026,"In the relational model, Data Types further ensure proper storage and validation of data. Character Data Types are used to store textual information. CHAR stores fixed-length strings and is suitable for values with constant size, while VARCHAR stores variable-length strings and optimizes storage. TEXT is used for large textual data. These data types are commonly used for names, addresses, and descriptions.

Date and Time Data Types handle temporal data. DATE stores only date values, TIME stores time values, DATETIME stores both date and time, and TIMESTAMP stores date and time with automatic system updates. These data types are essential for tracking transactions, logs, and system activities.
Special Data Types include ENUM, which allows predefined values; BLOB, used for storing binary data such as images and files; and JSON, used for semi-structured data storage, especially in modern applications.

Constraints are rules applied to table columns to enforce data integrity and consistency. The PRIMARY KEY uniquely identifies each record and does not allow NULL values. FOREIGN KEY establishes a relationship between tables and maintains referential integrity. UNIQUE ensures all values in a column are distinct. NOT NULL prevents missing values, CHECK enforces conditional rules, and DEFAULT assigns a predefined value when no input is provided. These constraints protect the database from invalid and inconsistent data.

The installation of MySQL involves downloading the installer from the official website, configuring server settings, setting the root password, and installing MySQL Workbench for database management. Once installed, MySQL provides a reliable environment to create databases, tables, constraints, and queries using SQL.",8 Hours,,"Learners will be able to explain character, date/time, and special data types, apply constraints for data integrity, and understand the installation and setup of MySQL in a relational database environment.",SQL
9,11/02/2026,"Today’s soft skills session focused on Resume Building, aimed at helping students understand the importance of a professional resume and how it plays a critical role in securing interviews. The session began with an introduction to what a resume is and why recruiters spend only a few seconds scanning it. Students were guided to understand the difference between a resume, CV, and biodata, and when each is used in the professional world.

The session covered the essential components of a resume, including personal details, career objective, academic qualifications, technical skills, soft skills, projects, internships, certifications, achievements, and hobbies. Special emphasis was given to writing a clear and targeted career objective aligned with job roles. Students learned how to present their technical skills effectively and how to highlight projects and internships with action-oriented descriptions.

Common resume mistakes such as spelling errors, unnecessary personal details, long paragraphs, poor formatting, and false information were discussed in detail. The importance of choosing the right resume format (chronological, functional, or combination) was explained with examples. Guidance was also provided on tailoring resumes based on job descriptions and using keywords to match recruiter expectations and ATS systems.

The session concluded with tips on resume formatting, font selection, length optimization, and the importance of honesty and clarity. Students actively participated by reviewing sample resumes and understanding best practices to improve their own resumes for placement and interview readiness.",8 Hours,,"Students gained the ability to create a clear, professional, and job-oriented resume by understanding proper structure, formatting, content selection, and common mistakes, enabling them to confidently apply for placements and interviews.",SQL
10,12/02/2026,"This session focused on building a strong foundation in SQL data handling and database integrity concepts. We began with String and Character Data Types, explaining CHAR, VARCHAR, and TEXT, their storage behavior, size limits, and use cases with syntax and examples to help learners choose the right type based on fixed or variable-length data. Next, we explored Date and Time Data Types such as DATE, TIME, DATETIME, TIMESTAMP, and YEAR, including their formats, default values, and real-time usage with built-in functions like NOW() and CURDATE().

The session then covered Constraints in SQL, emphasizing their role in enforcing data integrity and consistency. All constraint types were discussed in detail: NOT NULL, UNIQUE, PRIMARY KEY, FOREIGN KEY, CHECK, and DEFAULT. Each constraint was explained with syntax and practical examples, including column-level and table-level definitions, and real-world scenarios such as maintaining referential integrity between tables.

An overview of SQL statements was provided, categorizing them into DDL (CREATE, ALTER, DROP, TRUNCATE), DML (INSERT, UPDATE, DELETE), DQL (SELECT), DCL (GRANT, REVOKE), and TCL (COMMIT, ROLLBACK, SAVEPOINT), highlighting their purpose and usage. Finally, hands-on queries were demonstrated, including creating a table using proper data types and constraints, and inserting records using the INSERT statement, enabling learners to understand end-to-end table creation and data insertion workflows in a real database environment.",8 Hours,,"Learners will be able to design SQL tables using appropriate data types, apply constraints for data integrity, and execute basic SQL statements to create tables and insert records confidently.",SQL
